time_slot,visible_sats
10,"['STARLINK-1298', 'STARLINK-2589', 'STARLINK-4028', 'STARLINK-4158', 'STARLINK-5853', 'STARLINK-5860', 'STARLINK-30174', 'STARLINK-30955', 'STARLINK-31353', 'STARLINK-31202', 'STARLINK-31620', 'STARLINK-31678', 'STARLINK-32001', 'STARLINK-32190', 'STARLINK-33625', 'STARLINK-33873', 'STARLINK-11706 [DTC]', 'STARLINK-33918', 'STARLINK-34165', 'STARLINK-34163', 'STARLINK-34160', 'STARLINK-34314', 'STARLINK-33924', 'STARLINK-34629', 'STARLINK-34632', 'STARLINK-34662', 'STARLINK-34668', 'STARLINK-34667', 'STARLINK-34709', 'STARLINK-34736', 'STARLINK-34756', 'STARLINK-34676', 'STARLINK-34578', 'STARLINK-34575', 'STARLINK-34684']"
11,"['STARLINK-1306', 'STARLINK-3775', 'STARLINK-4028', 'STARLINK-4158', 'STARLINK-5853', 'STARLINK-30174', 'STARLINK-30906', 'STARLINK-31202', 'STARLINK-31678', 'STARLINK-31744', 'STARLINK-31332', 'STARLINK-32190', 'STARLINK-33625', 'STARLINK-33873', 'STARLINK-33918', 'STARLINK-34165', 'STARLINK-34160', 'STARLINK-33924', 'STARLINK-34209', 'STARLINK-34338', 'STARLINK-34632', 'STARLINK-34567', 'STARLINK-34649', 'STARLINK-34660', 'STARLINK-34604', 'STARLINK-34696', 'STARLINK-34644', 'STARLINK-34685', 'STARLINK-34709', 'STARLINK-34748', 'STARLINK-34756', 'STARLINK-34575', 'STARLINK-34690']"
12,"['STARLINK-1237', 'STARLINK-1298', 'STARLINK-1966', 'STARLINK-2015', 'STARLINK-4028', 'STARLINK-5072', 'STARLINK-5853', 'STARLINK-30174', 'STARLINK-30906', 'STARLINK-31202', 'STARLINK-31678', 'STARLINK-31744', 'STARLINK-31332', 'STARLINK-32190', 'STARLINK-33717', 'STARLINK-33915', 'STARLINK-33918', 'STARLINK-34165', 'STARLINK-34160', 'STARLINK-34213', 'STARLINK-34338', 'STARLINK-34337', 'STARLINK-34693', 'STARLINK-34646', 'STARLINK-34641', 'STARLINK-34633', 'STARLINK-34663', 'STARLINK-34675', 'STARLINK-34668', 'STARLINK-34709', 'STARLINK-34748', 'STARLINK-34722', 'STARLINK-34683', 'STARLINK-34570', 'STARLINK-34690', 'STARLINK-34628', 'STARLINK-34544']"
13,"['STARLINK-1200', 'STARLINK-1228', 'STARLINK-1966', 'STARLINK-2015', 'STARLINK-4028', 'STARLINK-5072', 'STARLINK-6268', 'STARLINK-5853', 'STARLINK-5950', 'STARLINK-30174', 'STARLINK-30906', 'STARLINK-31678', 'STARLINK-31744', 'STARLINK-31332', 'STARLINK-31685', 'STARLINK-32190', 'STARLINK-33717', 'STARLINK-33783', 'STARLINK-34160', 'STARLINK-33926', 'STARLINK-34697', 'STARLINK-34666', 'STARLINK-34658', 'STARLINK-34664', 'STARLINK-34608', 'STARLINK-34669', 'STARLINK-34667', 'STARLINK-34748', 'STARLINK-34757', 'STARLINK-34682', 'STARLINK-34683', 'STARLINK-34654', 'STARLINK-34544']"
14,"['STARLINK-1098', 'STARLINK-2015', 'STARLINK-3775', 'STARLINK-4028', 'STARLINK-5072', 'STARLINK-5707', 'STARLINK-5853', 'STARLINK-6116', 'STARLINK-5950', 'STARLINK-30530', 'STARLINK-30906', 'STARLINK-31001', 'STARLINK-31457', 'STARLINK-31678', 'STARLINK-31744', 'STARLINK-31332', 'STARLINK-31685', 'STARLINK-31771', 'STARLINK-32190', 'STARLINK-33717', 'STARLINK-33915', 'STARLINK-34160', 'STARLINK-34314', 'STARLINK-34345', 'STARLINK-34662', 'STARLINK-34604', 'STARLINK-34624', 'STARLINK-34696', 'STARLINK-34644', 'STARLINK-34685', 'STARLINK-34723', 'STARLINK-34757']"
15,"['STARLINK-1306', 'STARLINK-1767', 'STARLINK-2015', 'STARLINK-5072', 'STARLINK-30069', 'STARLINK-5707', 'STARLINK-6116', 'STARLINK-5950', 'STARLINK-30530', 'STARLINK-30906', 'STARLINK-31001', 'STARLINK-31457', 'STARLINK-31581', 'STARLINK-31678', 'STARLINK-31744', 'STARLINK-31332', 'STARLINK-31685', 'STARLINK-31771', 'STARLINK-32190', 'STARLINK-33717', 'STARLINK-34213', 'STARLINK-34345', 'STARLINK-34567', 'STARLINK-34649', 'STARLINK-34620', 'STARLINK-34723', 'STARLINK-34651', 'STARLINK-34684']"
16,"['STARLINK-1237', 'STARLINK-1306', 'STARLINK-1767', 'STARLINK-2303', 'STARLINK-2437', 'STARLINK-5158', 'STARLINK-5072', 'STARLINK-30069', 'STARLINK-5707', 'STARLINK-6116', 'STARLINK-5950', 'STARLINK-30530', 'STARLINK-30906', 'STARLINK-31010', 'STARLINK-31001', 'STARLINK-31457', 'STARLINK-31581', 'STARLINK-31678', 'STARLINK-31744', 'STARLINK-31332', 'STARLINK-31685', 'STARLINK-31771', 'STARLINK-32190', 'STARLINK-33717', 'STARLINK-33915', 'STARLINK-34345', 'STARLINK-34235', 'STARLINK-34629', 'STARLINK-34632', 'STARLINK-34646', 'STARLINK-34633', 'STARLINK-34675', 'STARLINK-34608', 'STARLINK-34669', 'STARLINK-34725', 'STARLINK-34564', 'STARLINK-34631', 'STARLINK-34575']"
17,"['STARLINK-1200', 'STARLINK-1228', 'STARLINK-1298', 'STARLINK-1767', 'STARLINK-2303', 'STARLINK-2437', 'STARLINK-2523', 'STARLINK-3752', 'STARLINK-5158', 'STARLINK-5078', 'STARLINK-5072', 'STARLINK-5803', 'STARLINK-6268', 'STARLINK-30069', 'STARLINK-5707', 'STARLINK-6116', 'STARLINK-5950', 'STARLINK-30530', 'STARLINK-30906', 'STARLINK-30919', 'STARLINK-31010', 'STARLINK-31001', 'STARLINK-31283', 'STARLINK-31457', 'STARLINK-31581', 'STARLINK-31744', 'STARLINK-31332', 'STARLINK-31685', 'STARLINK-31771', 'STARLINK-32190', 'STARLINK-33717', 'STARLINK-33924', 'STARLINK-34209', 'STARLINK-34345', 'STARLINK-34337', 'STARLINK-34235', 'STARLINK-34693', 'STARLINK-34666', 'STARLINK-34662', 'STARLINK-34604', 'STARLINK-34696', 'STARLINK-34685', 'STARLINK-34668', 'STARLINK-34725', 'STARLINK-34706', 'STARLINK-34736', 'STARLINK-34746', 'STARLINK-34564', 'STARLINK-34631', 'STARLINK-34578', 'STARLINK-34575', 'STARLINK-34690', 'STARLINK-34628', 'STARLINK-34544']"
18,"['STARLINK-1200', 'STARLINK-1767', 'STARLINK-2523', 'STARLINK-3537', 'STARLINK-3775', 'STARLINK-3752', 'STARLINK-5158', 'STARLINK-5078', 'STARLINK-5311', 'STARLINK-5803', 'STARLINK-30069', 'STARLINK-5707', 'STARLINK-6116', 'STARLINK-5950', 'STARLINK-30148', 'STARLINK-30334', 'STARLINK-30530', 'STARLINK-30906', 'STARLINK-30919', 'STARLINK-31010', 'STARLINK-31001', 'STARLINK-31283', 'STARLINK-31457', 'STARLINK-31581', 'STARLINK-31685', 'STARLINK-31771', 'STARLINK-31996', 'STARLINK-33717', 'STARLINK-33915', 'STARLINK-33783', 'STARLINK-34314', 'STARLINK-34345', 'STARLINK-34666', 'STARLINK-34649', 'STARLINK-34660', 'STARLINK-34658', 'STARLINK-34664', 'STARLINK-34706', 'STARLINK-34736', 'STARLINK-34746', 'STARLINK-34722', 'STARLINK-34676', 'STARLINK-34682', 'STARLINK-34570']"
19,"['STARLINK-1767', 'STARLINK-2523', 'STARLINK-3752', 'STARLINK-5158', 'STARLINK-5078', 'STARLINK-5311', 'STARLINK-5803', 'STARLINK-30069', 'STARLINK-30078', 'STARLINK-5707', 'STARLINK-6116', 'STARLINK-5950', 'STARLINK-30148', 'STARLINK-30334', 'STARLINK-30530', 'STARLINK-30906', 'STARLINK-30919', 'STARLINK-31010', 'STARLINK-31001', 'STARLINK-31283', 'STARLINK-31457', 'STARLINK-31581', 'STARLINK-31685', 'STARLINK-31771', 'STARLINK-31996', 'STARLINK-11520 [DTC]', 'STARLINK-33717', 'STARLINK-34338', 'STARLINK-34348', 'STARLINK-34345', 'STARLINK-34697', 'STARLINK-34567', 'STARLINK-34641', 'STARLINK-34624', 'STARLINK-34663', 'STARLINK-34669', 'STARLINK-34668', 'STARLINK-34706', 'STARLINK-34676', 'STARLINK-34682', 'STARLINK-34683', 'STARLINK-34654']"
